family,configuration,trial,fold,average_precision,roc_auc,recall,precision,f1,specificity,brier,tn,fp,fn,tp,threshold,mean_probability,prevalence,predicted_positive_fraction,fit_encounters,holdout_encounters,encoded_features,duration_seconds
boosting,raw,12,1,0.22124283939107042,0.6684492542646268,0.006364922206506365,0.75,0.012622720897615708,0.9997344662772172,0.0944113213312149,11295,3,1405,9,0.5,0.11205742116727718,0.11123348017621146,0.0009439899307740718,50851,12712,10,0.49956670799292624
boosting,raw,12,2,0.22672913945471096,0.6711777802829604,0.0007077140835102619,0.5,0.0014134275618374558,0.9999115044247787,0.0940765085158683,11299,1,1412,1,0.5,0.10997464815519101,0.11114607095099505,0.0001573192794777,50850,12713,10,0.5078913330071373
boosting,raw,12,3,0.21930054005683342,0.6640359295021817,0.0,0.0,0.0,1.0,0.09444152757533958,11299,0,1413,0,0.5,0.11023333642956912,0.11115481434864695,0.0,50851,12712,10,0.5051113329973305
boosting,raw,12,4,0.21197002307284735,0.6637200373091309,0.011315417256011316,0.42105263157894735,0.02203856749311295,0.998052925037614,0.09476307748688875,11277,22,1398,16,0.5,0.11201036317778201,0.1112247305907339,0.0029890663100763,50850,12713,10,0.5029235830006655
boosting,raw,13,0,0.21947588498747578,0.6500938924762465,0.007072135785007072,0.7692307692307693,0.01401541695865452,0.9997344897778564,0.09476075118866777,11296,3,1404,10,0.5,0.11054936393723008,0.1112247305907339,0.0010225753166050499,50850,12713,10,0.5185708749922924
boosting,raw,13,1,0.22164430940146845,0.6701671798315557,0.009900990099009901,0.6086956521739131,0.019485038274182326,0.9992033988316517,0.09436191567262187,11289,9,1400,14,0.5,0.11206187502801401,0.11123348017621146,0.0018093140339836375,50851,12712,10,0.5118501250108238
boosting,raw,13,2,0.22483354515072382,0.6700034446260702,0.0021231422505307855,0.23076923076923078,0.004207573632538569,0.9991150442477876,0.09404432409127038,11290,10,1410,3,0.5,0.10975256301057235,0.11114607095099505,0.0010225753166050499,50850,12713,10,0.5118943749985192
boosting,raw,13,3,0.22018177160175373,0.6658148292000112,0.006369426751592357,0.5625,0.012596221133659902,0.9993804761483317,0.09428900557319403,11292,7,1404,9,0.5,0.11026206988830141,0.11115481434864695,0.0012586532410320957,50851,12712,10,0.4861985419993289
boosting,raw,13,4,0.2111132145849174,0.6635487575536156,0.019094766619519095,0.4576271186440678,0.03665987780040733,0.9971678909638021,0.094856434258959,11267,32,1387,27,0.5,0.11211820277330051,0.1112247305907339,0.00464091874459215,50850,12713,10,0.49945429200306535
boosting,raw,14,0,0.21974787558468312,0.6503934833952211,0.0,0.0,0.0,1.0,0.09479877937929544,11299,0,1414,0,0.5,0.1103185379351882,0.1112247305907339,0.0,50850,12713,10,0.5142923329985933
boosting,raw,14,1,0.22165257934188157,0.6690891141689848,0.002828854314002829,0.8,0.005637773079633545,0.9999114887590724,0.09441950980391572,11297,1,1410,4,0.5,0.1119451975768592,0.11123348017621146,0.0003933291378225299,50851,12712,10,0.49435437499778345
boosting,raw,14,2,0.22711069563627403,0.6716531386806457,0.0,0.0,0.0,1.0,0.09406432812259877,11300,0,1413,0,0.5,0.10964095622400859,0.11114607095099505,0.0,50850,12713,10,0.5210954170033801
boosting,raw,14,3,0.22013930785843722,0.6645327824951409,0.0,0.0,0.0,1.0,0.09443666456516572,11299,0,1413,0,0.5,0.11010685429580751,0.11115481434864695,0.0,50851,12712,10,0.5084448749985313
boosting,raw,14,4,0.2123828582311863,0.663673000314331,0.010608203677510608,0.39473684210526316,0.02066115702479339,0.9979644216302328,0.0947205970079681,11276,23,1399,15,0.5,0.11174182016892349,0.1112247305907339,0.0029890663100763,50850,12713,10,0.5008748749969527
boosting,raw,15,0,0.22009569917291597,0.648651800180587,0.0,0.0,0.0,1.0,0.09492664180047877,11299,0,1414,0,0.5,0.10983435989016026,0.1112247305907339,0.0,50850,12713,10,0.5923180829995545
boosting,raw,15,1,0.21798564369015477,0.6674517814045269,0.0,0.0,0.0,1.0,0.09455815766236221,11298,0,1414,0,0.5,0.11129315441012809,0.11123348017621146,0.0,50851,12712,10,0.5690845839999383
boosting,raw,15,2,0.22489273857631822,0.6691457953641596,0.0,0.0,0.0,1.0,0.09433195275295554,11300,0,1413,0,0.5,0.10919890556225341,0.11114607095099505,0.0,50850,12713,10,0.5774257089942694
boosting,raw,15,3,0.2179173927312644,0.6648779332569059,0.0,0.0,0.0,1.0,0.09456448407606104,11299,0,1413,0,0.5,0.10967973885390901,0.11115481434864695,0.0,50851,12712,10,0.5744333749898942
boosting,raw,15,4,0.21121386029962674,0.6626167177804096,0.0,0.0,0.0,1.0,0.09479688962589125,11299,0,1414,0,0.5,0.11117876094835474,0.1112247305907339,0.0,50850,12713,10,0.5665113339928212
boosting,raw,16,0,0.21868979991924994,0.6499026149564749,0.007072135785007072,0.7692307692307693,0.01401541695865452,0.9997344897778564,0.09479489824977386,11296,3,1404,10,0.5,0.11049861694173983,0.1112247305907339,0.0010225753166050499,50850,12713,10,0.6814430829981575
boosting,raw,16,1,0.22185321866910432,0.6690676749186185,0.011315417256011316,0.6153846153846154,0.022222222222222223,0.999114887590724,0.09439775352947169,11288,10,1398,16,0.5,0.11202265298438231,0.11123348017621146,0.0020453115166771552,50851,12712,10,0.6650492910121102
boosting,raw,16,2,0.2260647164195791,0.6704184281231798,0.0014154281670205238,0.25,0.0028149190710767065,0.9994690265486725,0.09403306747039915,11294,6,1411,2,0.5,0.10993556251699124,0.11114607095099505,0.0006292771179108,50850,12713,10,0.6750650830072118
boosting,raw,16,3,0.21984125868778118,0.6645215394932833,0.004246284501061571,0.46153846153846156,0.008415147265077139,0.9993804761483317,0.09431605652448763,11292,7,1407,6,0.5,0.11029970000322842,0.11115481434864695,0.0010226557583385776,50851,12712,10,0.6691757079970557
boosting,raw,16,4,0.2112185915500711,0.663659856243928,0.018387553041018388,0.4406779661016949,0.035302104548540394,0.9970793875564209,0.094848699820794,11266,33,1388,26,0.5,0.11214541967845021,0.1112247305907339,0.00464091874459215,50850,12713,10,0.6648574159917189
boosting,raw,17,0,0.21816560397328338,0.649879769310298,0.010608203677510608,0.8333333333333334,0.02094972067039106,0.9997344897778564,0.09474640226073017,11296,3,1399,15,0.5,0.11051432179297219,0.1112247305907339,0.0014158735152993,50850,12713,10,0.666395125008421
boosting,raw,17,1,0.22085045648382579,0.6710270659112039,0.013437057991513438,0.5757575757575758,0.02626123013130615,0.9987608426270136,0.09435617724919172,11284,14,1395,19,0.5,0.11205770989911205,0.11123348017621146,0.0025959723096286975,50851,12712,10,0.6728875419939868
